,0,1,2
17167,15,16,inf
17168,15,16,inf
17171,15,16,inf
17172,15,16,inf
17173,15,16,inf
17174,15,16,inf
17175,15,16,inf
17176,15,16,inf
17177,15,16,inf
17178,15,16,inf
17180,15,16,inf
17181,15,16,inf
17183,15,16,inf
17184,15,16,inf
17185,15,16,inf
17186,15,16,inf
17188,15,16,inf
17190,15,16,inf
17192,15,16,inf
17193,15,16,inf
17194,15,16,inf
17195,15,16,inf
17196,15,16,inf
17197,15,16,inf
17198,15,16,inf
17199,15,16,inf
18000,16,17,inf
18001,16,17,inf
18002,16,17,inf
18003,16,17,inf
18004,16,17,inf
18005,16,17,inf
18006,16,17,inf
18007,16,17,inf
18009,16,17,inf
18011,16,17,inf
18012,16,17,inf
18013,16,17,inf
18014,16,17,inf
18015,16,17,inf
18016,16,17,inf
18017,16,17,inf
18019,16,17,inf
18020,16,17,inf
18021,16,17,inf
18022,16,17,inf
18023,16,17,inf
18026,16,17,inf
18027,16,17,inf
18029,16,17,inf
18030,16,17,inf
18031,16,17,inf
18032,16,17,inf
18033,16,17,inf
18034,16,17,inf
18035,16,17,inf
18036,16,17,inf
18037,16,17,inf
18038,16,17,inf
18039,16,17,inf
18040,16,17,inf
18041,16,17,inf
18042,16,17,inf
18044,16,17,inf
18047,16,17,inf
18048,16,17,inf
18800,17,18,inf
18801,17,18,inf
18802,17,18,inf
18803,17,18,inf
18804,17,18,inf
18805,17,18,inf
18806,17,18,inf
18807,17,18,inf
18808,17,18,inf
18809,17,18,inf
18810,17,18,inf
18811,17,18,inf
18812,17,18,inf
18813,17,18,inf
18814,17,18,inf
18815,17,18,inf
18816,17,18,inf
18817,17,18,inf
18818,17,18,inf
18819,17,18,inf
18822,17,18,inf
18823,17,18,inf
18824,17,18,inf
18825,17,18,inf
18826,17,18,inf
18827,17,18,inf
18828,17,18,inf
18829,17,18,inf
18830,17,18,inf
18831,17,18,inf
18832,17,18,inf
18834,17,18,inf
18835,17,18,inf
18836,17,18,inf
18837,17,18,inf
18838,17,18,inf
18839,17,18,inf
18840,17,18,inf
18841,17,18,inf
18842,17,18,inf
18843,17,18,inf
18845,17,18,inf
18846,17,18,inf
18848,17,18,inf
19550,18,19,inf
19551,18,19,inf
19552,18,19,inf
19553,18,19,inf
19554,18,19,inf
19555,18,19,inf
19556,18,19,inf
